GEOID,NAME,variable,estimate,moe
01,Alabama,B27010_002,1199122,4652
01,Alabama,B27010_003,1067179,9682
01,Alabama,B27010_010,85759,7752
01,Alabama,B27010_017,46184,5707
01,Alabama,B27010_018,1031093,6811
01,Alabama,B27010_019,799270,9522
01,Alabama,B27010_026,73339,4973
01,Alabama,B27010_033,158484,7102
01,Alabama,B27010_034,1884757,6293
01,Alabama,B27010_035,1432710,13466
01,Alabama,B27010_042,233995,9004
01,Alabama,B27010_050,218052,9449
01,Alabama,B27010_051,907455,3284
01,Alabama,B27010_052,322549,8814
01,Alabama,B27010_058,581207,9134
01,Alabama,B27010_066,3699,1192
02,Alaska,B27010_002,183282,2285
02,Alaska,B27010_003,152843,3409
02,Alaska,B27010_010,17744,2782
02,Alaska,B27010_017,12695,1842
02,Alaska,B27010_018,148394,3422
02,Alaska,B27010_019,109590,3886
02,Alaska,B27010_026,13398,2218
02,Alaska,B27010_033,25406,2286
02,Alaska,B27010_034,269486,3065
02,Alaska,B27010_035,202620,5112
02,Alaska,B27010_042,33335,3262
02,Alaska,B27010_050,33531,3290
02,Alaska,B27010_051,101153,1474
02,Alaska,B27010_052,25279,2318
02,Alaska,B27010_058,74552,2783
02,Alaska,B27010_066,1322,473
04,Arizona,B27010_002,1684628,4534
04,Arizona,B27010_003,1416580,13852
04,Arizona,B27010_010,122590,8818
04,Arizona,B27010_017,145458,11285
04,Arizona,B27010_018,1580918,6276
04,Arizona,B27010_019,1222987,14507
04,Arizona,B27010_026,97354,7437
04,Arizona,B27010_033,260577,11974
04,Arizona,B27010_034,2637709,4498
04,Arizona,B27010_035,2101684,14609
04,Arizona,B27010_042,226673,8009
04,Arizona,B27010_050,309352,11437
04,Arizona,B27010_051,1418252,2387
04,Arizona,B27010_052,596305,13820
04,Arizona,B27010_058,809842,13706
04,Arizona,B27010_066,12105,2544
05,Arkansas,B27010_002,743227,3508
05,Arkansas,B27010_003,643316,8892
05,Arkansas,B27010_010,50037,4945
05,Arkansas,B27010_017,49874,6481
05,Arkansas,B27010_018,623551,5323
05,Arkansas,B27010_019,482106,6983
05,Arkansas,B27010_026,43124,3604
05,Arkansas,B27010_033,98321,5512
05,Arkansas,B27010_034,1113040,5201
05,Arkansas,B27010_035,873391,9484
05,Arkansas,B27010_042,122057,6529
05,Arkansas,B27010_050,117592,6573
05,Arkansas,B27010_051,533197,3168
05,Arkansas,B27010_052,213619,6405
05,Arkansas,B27010_058,316578,6884
05,Arkansas,B27010_066,3000,1117
06,California,B27010_002,8958890,10149
06,California,B27010_003,8005132,23918
06,California,B27010_010,668476,21444
06,California,B27010_017,285282,13558
06,California,B27010_018,8513048,12158
06,California,B27010_019,7093272,22683
06,California,B27010_026,540603,13145
06,California,B27010_033,879173,17222
06,California,B27010_034,14819243,7457
06,California,B27010_035,12490619,31158
06,California,B27010_042,1101313,20070
06,California,B27010_050,1227311,26873
06,California,B27010_051,6204343,4562
06,California,B27010_052,2456955,22664
06,California,B27010_058,3680771,24032
06,California,B27010_066,66617,4952
08,Colorado,B27010_002,1281784,5432
08,Colorado,B27010_003,1136401,12163
08,Colorado,B27010_010,92471,8390
08,Colorado,B27010_017,52912,5656
08,Colorado,B27010_018,1339419,7649
08,Colorado,B27010_019,1110470,10174
08,Colorado,B27010_026,90469,5891
08,Colorado,B27010_033,138480,7549
08,Colorado,B27010_034,2229462,5291
08,Colorado,B27010_035,1863870,12462
08,Colorado,B27010_042,175602,8174
08,Colorado,B27010_050,189990,7935
08,Colorado,B27010_051,925819,2585
08,Colorado,B27010_052,412082,8397
08,Colorado,B27010_058,507872,8396
08,Colorado,B27010_066,5865,1364
09,Connecticut,B27010_002,774308,3595
09,Connecticut,B27010_003,694861,7889
09,Connecticut,B27010_010,52828,5587
09,Connecticut,B27010_017,26619,4646
09,Connecticut,B27010_018,722746,3825
09,Connecticut,B27010_019,606823,7699
09,Connecticut,B27010_026,42720,4304
09,Connecticut,B27010_033,73203,6168
09,Connecticut,B27010_034,1405226,3168
09,Connecticut,B27010_035,1200109,10035
09,Connecticut,B27010_042,104987,6696
09,Connecticut,B27010_050,100130,7549
09,Connecticut,B27010_051,671541,1921
09,Connecticut,B27010_052,266656,6422
09,Connecticut,B27010_058,399668,6322
09,Connecticut,B27010_066,5217,1522
10,Delaware,B27010_002,226540,1594
10,Delaware,B27010_003,197168,4581
10,Delaware,B27010_010,18527,3302
10,Delaware,B27010_017,10845,3545
10,Delaware,B27010_018,194012,2348
10,Delaware,B27010_019,156693,4581
10,Delaware,B27010_026,13287,2420
10,Delaware,B27010_033,24032,3370
10,Delaware,B27010_034,381566,1657
10,Delaware,B27010_035,315541,4620
10,Delaware,B27010_042,36675,3716
10,Delaware,B27010_050,29350,3841
10,Delaware,B27010_051,215747,904
10,Delaware,B27010_052,67519,3678
10,Delaware,B27010_058,146400,3918
10,Delaware,B27010_066,1828,816
11,District of Columbia,B27010_002,134196,1647
11,District of Columbia,B27010_003,119165,6149
11,District of Columbia,B27010_010,13329,5833
11,District of Columbia,B27010_017,1702,1174
11,District of Columbia,B27010_018,202526,1719
11,District of Columbia,B27010_019,186525,3378
11,District of Columbia,B27010_026,8751,1676
11,District of Columbia,B27010_033,7250,2180
11,District of Columbia,B27010_034,246014,1022
11,District of Columbia,B27010_035,220526,3420
11,District of Columbia,B27010_042,16910,3086
11,District of Columbia,B27010_050,8578,2033
11,District of Columbia,B27010_051,86722,390
11,District of Columbia,B27010_052,21073,2054
11,District of Columbia,B27010_058,65054,2023
11,District of Columbia,B27010_066,595,385
12,Florida,B27010_002,4647684,7933
12,Florida,B27010_003,4003628,20901
12,Florida,B27010_010,293516,15141
12,Florida,B27010_017,350540,14897
12,Florida,B27010_018,4248306,10011
12,Florida,B27010_019,3171603,25056
12,Florida,B27010_026,248342,12780
12,Florida,B27010_033,828361,20640
12,Florida,B27010_034,8564857,9150
12,Florida,B27010_035,6641747,29772
12,Florida,B27010_042,767236,20597
12,Florida,B27010_050,1155874,24397
12,Florida,B27010_051,4815550,4268
12,Florida,B27010_052,2112527,22114
12,Florida,B27010_058,2656401,21965
12,Florida,B27010_066,46622,4422
13,Georgia,B27010_002,2683625,6593
13,Georgia,B27010_003,2297138,16418
